,DATO,PO_KODE,PO_NAVN,ARTSID,TRAFFIC_LIGHT,BEHFISK_STK,BIOMASSE_KG
192,2018-08-01,09,Vestfjorden og Vesterålen,LAKS,green,38655255,58051682
194,2018-08-01,10,Andøya til Senja,LAKS,green,38814328,59479394
195,2018-08-01,11,Kvaløy til Loppa,LAKS,green,25104562,48403272
196,2018-08-01,12,Vest-Finnmark,LAKS,green,38551601,56751633
197,2018-08-01,13,Øst-Finnmark,LAKS,green,3240759,5978933
198,2018-09-01,01,Svenskegrensen til Jæren,LAKS,green,5753811,15556761
199,2018-09-01,02,Ryfylket,LAKS,yellow,22249987,39675884
200,2018-09-01,03,Karmøy til Sotra,LAKS,red,54014333,94383458
202,2018-09-01,04,Nordhordland til Stadt,LAKS,red,36642774,63730895
204,2018-09-01,05,Stadt til Hustadvika,LAKS,yellow,20148472,34050300
206,2018-09-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,70672736,130528411
208,2018-09-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,36583453,53939699
209,2018-09-01,08,Helgeland til Bodø,LAKS,green,42208504,68815214
210,2018-09-01,09,Vestfjorden og Vesterålen,LAKS,green,37830594,58562565
212,2018-09-01,10,Andøya til Senja,LAKS,green,42884130,64580818
213,2018-09-01,11,Kvaløy til Loppa,LAKS,green,23539203,49057919
214,2018-09-01,12,Vest-Finnmark,LAKS,green,37468283,64039404
215,2018-09-01,13,Øst-Finnmark,LAKS,green,3107313,6847043
216,2018-10-01,01,Svenskegrensen til Jæren,LAKS,green,6877240,18282221
217,2018-10-01,02,Ryfylket,LAKS,yellow,25709927,43187146
218,2018-10-01,03,Karmøy til Sotra,LAKS,red,54023055,100692740
220,2018-10-01,04,Nordhordland til Stadt,LAKS,red,39076185,61697306
222,2018-10-01,05,Stadt til Hustadvika,LAKS,yellow,21368221,34505981
224,2018-10-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,69368238,131149957
226,2018-10-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,36588436,55126398
227,2018-10-01,08,Helgeland til Bodø,LAKS,green,44021934,75289480
228,2018-10-01,09,Vestfjorden og Vesterålen,LAKS,green,39914279,65118525
230,2018-10-01,10,Andøya til Senja,LAKS,green,42643378,66339176
231,2018-10-01,11,Kvaløy til Loppa,LAKS,green,22382208,45000627
232,2018-10-01,12,Vest-Finnmark,LAKS,green,39935389,65482488
233,2018-10-01,13,Øst-Finnmark,LAKS,green,2754551,6452298
234,2018-11-01,01,Svenskegrensen til Jæren,LAKS,green,7079567,18602008
235,2018-11-01,02,Ryfylket,LAKS,yellow,25958013,45478222
236,2018-11-01,03,Karmøy til Sotra,LAKS,red,50131899,102130290
238,2018-11-01,04,Nordhordland til Stadt,LAKS,red,39720189,65428500
240,2018-11-01,05,Stadt til Hustadvika,LAKS,yellow,20701942,37851112
242,2018-11-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,62805101,120618161
244,2018-11-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,35268683,60836066
245,2018-11-01,08,Helgeland til Bodø,LAKS,green,44063411,79608372
246,2018-11-01,09,Vestfjorden og Vesterålen,LAKS,green,38301854,68701995
248,2018-11-01,10,Andøya til Senja,LAKS,green,41559276,68303096
249,2018-11-01,11,Kvaløy til Loppa,LAKS,green,20497825,42345095
250,2018-11-01,12,Vest-Finnmark,LAKS,green,41047877,65532692
251,2018-11-01,13,Øst-Finnmark,LAKS,green,2279754,5004328
252,2018-12-01,01,Svenskegrensen til Jæren,LAKS,green,6297094,17330152
253,2018-12-01,02,Ryfylket,LAKS,yellow,24284478,44362744
254,2018-12-01,03,Karmøy til Sotra,LAKS,red,45936268,99849769
256,2018-12-01,04,Nordhordland til Stadt,LAKS,red,38028240,68501767
258,2018-12-01,05,Stadt til Hustadvika,LAKS,yellow,19556716,37247621
260,2018-12-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,58893559,122047178
262,2018-12-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,33458955,62896711
263,2018-12-01,08,Helgeland til Bodø,LAKS,green,45300829,82360734
264,2018-12-01,09,Vestfjorden og Vesterålen,LAKS,green,37477023,71708271
266,2018-12-01,10,Andøya til Senja,LAKS,green,41357384,71960078
267,2018-12-01,11,Kvaløy til Loppa,LAKS,green,20013506,40597506
268,2018-12-01,12,Vest-Finnmark,LAKS,green,40248599,66843139
269,2018-12-01,13,Øst-Finnmark,LAKS,green,2073136,4461574
270,2019-01-01,01,Svenskegrensen til Jæren,LAKS,green,6034221,18086410
271,2019-01-01,02,Ryfylket,LAKS,yellow,22835484,42468600
